timestamp,air_humidity
1657058400,77
1657062000,79.7
1657065600,81.95
1657069200,84.05
1657072800,85.45
1657076400,85.6
1657080000,83.6
1657083600,81.5
1657087200,74.5
1657090800,68.8
1657094400,65.35
1657098000,60.4
1657101600,57.35
1657105200,54.65
1657108800,51.55
1657112400,51.45
1657116000,51.7
1657119600,55.85
1657123200,54.1
1657126800,51.2
1657130400,55.25
1657134000,72.15
1657137600,79.25
1657141200,81.65
1657144800,80.45
1657148400,80.7
1657152000,82.8
1657155600,83.5
1657159200,83.75
1657162800,84.1
1657166400,82.05
1657170000,74.55
1657173600,66.6
1657177200,62.55
1657180800,61.2
1657184400,57.8
1657188000,55.1
1657191600,53.45
1657195200,52.35
1657198800,52.1
1657202400,52.75
1657206000,54.5
1657209600,52.9
1657213200,53.2
1657216800,59.2
1657220400,70.9
1657224000,87.55
1657227600,85.55
1657231200,89.3
1657234800,91.8
1657238400,92.45
1657242000,92.55
1657245600,93.1
1657249200,93.3
1657252800,92.25
1657256400,85
1657260000,78.35
1657263600,71.9
1657267200,68.1
1657270800,62.7
1657274400,58.05
1657278000,52.9
1657281600,49.35
1657285200,47.35
1657288800,45.95
1657292400,44
1657296000,42.25
1657299600,42.15
1657303200,48.45
1657306800,68.8
1657310400,70.25
1657314000,70
1657317600,71
1657321200,71.4
1657324800,70.6
1657328400,71.85
1657332000,74
1657335600,76.95
1657339200,78.95
1657342800,69.35
1657346400,57.75
1657350000,56.6
1657353600,54.25
1657357200,49.55
1657360800,47.45
1657364400,45.5
1657368000,43.8
1657371600,41.9
1657375200,41.75
1657378800,41.55
1657382400,41.3
1657386000,42.2
1657389600,47.6
1657393200,62.45
1657396800,72.35
1657400400,73.5
1657404000,71.6
1657407600,70.7
1657411200,70.85
1657414800,71.1
1657418400,70.95
1657422000,71.15
1657425600,69.8
1657429200,62.4
1657432800,56.1
1657436400,48.6
1657440000,42.6
1657443600,40.55
1657447200,39.1
1657450800,37.6
1657454400,36.5
1657458000,36.1
1657461600,36.9
1657465200,38.6
1657468800,41.95
1657472400,43.85
1657476000,47.25
1657479600,58
1657483200,71
1657486800,68.45
1657490400,69
1657494000,71.25
1657497600,70.9
1657501200,71.65
1657504800,79.8
1657508400,81.7
1657512000,81.95
1657515600,71.35
1657519200,62.25
1657522800,56.8
1657526400,51
1657530000,48.95
1657533600,46.9
1657537200,49.8
1657540800,51.85
1657544400,52.55
1657548000,52.95
1657551600,51.8
1657555200,52.55
1657558800,54.3
1657562400,58.95
1657566000,65.9
1657569600,76.9
1657573200,82.45
1657576800,82.65
1657580400,83
1657584000,83.95
1657587600,86.2
1657591200,84.15
1657594800,84.65
1657598400,87.4
1657602000,79.25
1657605600,71.6
1657609200,66.05
1657612800,60.9
1657616400,59.35
1657620000,57.2
1657623600,55.7
1657627200,55.8
1657630800,55.55
1657634400,55.1
1657638000,56
1657641600,56.6
1657645200,59.05
1657648800,63.6
1657652400,69.2
1657656000,77.75
1657659600,83.45
1657663200,87.25
1657666800,88.25
1657670400,89.2
1657674000,91.15
1657677600,92.3
1657681200,93.15
1657684800,93.45
1657688400,85.4
1657692000,75.6
1657695600,66.45
1657699200,61.9
1657702800,57.3
1657706400,52.5
1657710000,48.5
1657713600,45.25
1657717200,43.65
1657720800,40.85
1657724400,41.25
1657728000,44.3
1657731600,43.05
1657735200,46.75
1657738800,63.4
1657742400,70.55
1657746000,68.55
1657749600,68.75
1657753200,69.75
1657756800,70.85
1657760400,71.8
1657764000,72.3
1657767600,72.75
1657771200,69.75
1657774800,60.35
1657778400,51.65
1657782000,43.15
1657785600,38.6
1657789200,38.7
1657792800,35
1657796400,32.05
1657800000,31.7
1657803600,34.3
1657807200,35.9
1657810800,35.25
1657814400,37.05
1657818000,40.65
1657821600,47.05
1657825200,64.9
1657828800,73.3
1657832400,72.7
1657836000,65.65
1657839600,61.5
1657843200,58.25
1657846800,58.3
1657850400,58.8
1657854000,59.1
1657857600,57.9
1657861200,53.65
1657864800,49.95
1657868400,44.6
1657872000,44.1
1657875600,41.45
1657879200,40.55
1657882800,37.15
1657886400,36
1657890000,34.9
1657893600,40.6
1657897200,41.05
1657900800,40.5
1657904400,40.25
1657908000,45
1657911600,55.2
1657915200,58.1
1657918800,66.5
1657922400,62.65
1657926000,62.6
1657929600,72.6
1657933200,74.45
1657936800,76.65
1657940400,81.75
1657944000,80.5
1657947600,64.9
1657951200,57.9
1657954800,67.3
1657958400,63.25
1657962000,54.4
1657965600,52.25
1657969200,50.9
1657972800,49.05
1657976400,48.8
1657980000,49.6
1657983600,50.1
1657987200,51.6
1657990800,52.4
1657994400,55.2
1657998000,66.8
1658001600,76.7
1658005200,76.45
1658008800,77.3
1658012400,74.3
1658016000,71.25
1658019600,78.2
1658023200,83.25
1658026800,76.65
1658030400,74.35
1658034000,67.7
1658037600,62.55
1658041200,63.9
1658044800,66.9
1658048400,65.95
1658052000,60.45
1658055600,56.35
1658059200,54.6
1658062800,52.75
1658066400,51.4
1658070000,50.1
1658073600,50.9
1658077200,52.65
1658080800,55.65
1658084400,63.2
1658088000,73.25
1658091600,80.3
1658095200,81.1
1658098800,82.2
1658102400,81.2
1658106000,81.7
1658109600,82.35
1658113200,82.95
1658116800,84.4
1658120400,76.2
1658124000,67.8
1658127600,60.7
1658131200,58.35
1658134800,55.65
1658138400,52.75
1658142000,47.85
1658145600,44.35
1658149200,41.95
1658152800,41.15
1658156400,41.3
1658160000,40.6
1658163600,42.15
1658167200,46.85
1658170800,58
1658174400,69.95
1658178000,71.85
1658181600,69.9
1658185200,68.35
1658188800,69.45
1658192400,70
1658196000,70.8
1658199600,70.8
1658203200,70.95
1658206800,64.2
1658210400,57.5
1658214000,47.75
1658217600,43.15
1658221200,40.55
1658224800,39.5
1658228400,38.9
1658232000,37.75
1658235600,34.75
1658239200,34.35
1658242800,35.2
1658246400,36.8
1658250000,37.2
1658253600,40.1
1658257200,55.95
1658260800,61.3
1658264400,60.1
1658268000,59.1
1658271600,59.95
1658275200,61.3
1658278800,63.15
1658282400,63.1
1658286000,62.45
1658289600,59.7
1658293200,52.65
1658296800,47.35
1658300400,43.35
1658304000,42.25
1658307600,37.05
1658311200,35.6
1658314800,34.5
1658318400,34.8
1658322000,33.95
1658325600,33.65
1658329200,35.9
1658332800,42.5
1658336400,43.55
1658340000,46.45
1658343600,61.2
1658347200,68.3
1658350800,68.4
1658354400,67.25
1658358000,67.9
1658361600,70.05
1658365200,71
1658368800,71.55
1658372400,72.8
1658376000,70.95
1658379600,62.8
1658383200,56.25
1658386800,49
1658390400,48.85
1658394000,45.8
1658397600,40.5
1658401200,36.5
1658404800,37.55
1658408400,38.3
1658412000,39.75
1658415600,39.4
1658419200,40.65
1658422800,42.5
1658426400,50.9
1658430000,67.9
1658433600,68.6
1658437200,63.55
1658440800,58.65
1658444400,57.3
1658448000,62.6
1658451600,71.5
1658455200,69.15
1658458800,66.75
1658462400,65.85
1658466000,59.25
1658469600,53.15
1658473200,47.65
1658476800,50.95
1658480400,49.95
1658484000,42.65
1658487600,39
1658491200,37.85
1658494800,34.05
1658498400,33.25
1658502000,32.95
1658505600,32.65
1658509200,35.55
1658512800,49
1658516400,60.35
1658520000,61
1658523600,64.65
1658527200,69.25
1658530800,61.2
1658534400,57.95
1658538000,56.1
1658541600,55.55
1658545200,56.05
1658548800,61.2
1658552400,57.7
1658556000,49.55
1658559600,42.5
1658563200,38.3
1658566800,34.8
1658570400,32.05
1658574000,30.45
1658577600,29.65
1658581200,29.15
1658584800,29.9
1658588400,30.7
1658592000,31.75
1658595600,34.9
1658599200,36.15
1658602800,35.55
1658606400,34.25
1658610000,36.7
1658613600,45.3
1658617200,50.4
1658620800,54.8
1658624400,57.7
1658628000,60
1658631600,65.55
1658635200,71.25
1658638800,67.1
1658642400,61.4
1658646000,53.8
1658649600,50.65
1658653200,49
1658656800,48.25
1658660400,46.35
1658664000,45.45
1658667600,44.7
1658671200,43.95
1658674800,48.8
1658678400,48.35
1658682000,50.1
1658685600,56.55
1658689200,70.65
1658692800,71.85
1658696400,71.7
1658700000,71.2
1658703600,70.8
1658707200,71.65
1658710800,72
1658714400,73.55
1658718000,75.85
1658721600,76.25
1658725200,69.3
1658728800,62.6
1658732400,54.1
1658736000,54.15
1658739600,51.05
1658743200,47.1
1658746800,45.4
1658750400,44.05
1658754000,43.8
1658757600,46.6
1658761200,51.9
1658764800,54.35
1658768400,53.65
1658772000,62.65
1658775600,69.6
1658779200,75.15
1658782800,76.6
1658786400,70.1
1658790000,63.65
1658793600,67.05
1658797200,68.15
1658800800,70.2
1658804400,71.35
1658808000,72.8
1658811600,69.75
1658815200,63.7
1658818800,58
1658822400,54.45
1658826000,53.5
1658829600,50.8
1658833200,49.45
1658836800,51.35
1658840400,57.15
1658844000,61.45
1658847600,61.45
1658851200,63.45
1658854800,64.95
1658858400,72.15
1658862000,80.3
1658865600,85.15
1658869200,87.55
1658872800,89.75
1658876400,91.65
1658880000,93
1658883600,93.25
1658887200,93.05
1658890800,83.9
1658894400,81.8
1658898000,77.65
1658901600,76.15
1658905200,71.65
1658908800,69.65
1658912400,66.05
1658916000,63.4
1658919600,61.95
1658923200,57.95
1658926800,55.1
1658930400,55.3
1658934000,51.3
