timestamp,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80
1657058400.0,0.1615,0.1680,0.1868,0.1672,0.3206,0.3118,0.1937,0.1434,0.3206,0.3263,0.3059,0.1214
1657062000.0,0.1614,0.1683,0.1868,0.1677,0.3206,0.3108,0.1943,0.1439,0.3206,0.3287,0.3068,0.1217
1657065600.0,0.1615,0.1686,0.1870,0.1683,0.3206,0.3108,0.1947,0.1443,0.3206,0.3287,0.3068,0.1220
1657069200.0,0.1616,0.1688,0.1871,0.1688,0.3206,0.3108,0.1952,0.1446,0.3206,0.3263,0.3068,0.1222
1657072800.0,0.1616,0.1691,0.1875,0.1694,0.3206,0.3108,0.1958,0.1450,0.3206,0.3287,0.3068,0.1224
1657076400.0,0.1618,0.1694,0.1879,0.1700,0.3206,0.3099,0.1963,0.1454,0.3206,0.3275,0.3068,0.1225
1657080000.0,0.1618,0.1696,0.1882,0.1704,0.3194,0.3099,0.1968,0.1457,0.3206,0.3275,0.3068,0.1226
1657083600.0,0.1619,0.1698,0.1886,0.1709,0.3194,0.3099,0.1975,0.1460,0.3206,0.3287,0.3068,0.1226
1657087200.0,0.1619,0.1700,0.1890,0.1713,0.3194,0.3099,0.1978,0.1462,0.3206,0.3287,0.3068,0.1226
1657090800.0,0.1619,0.1701,0.1892,0.1715,0.3194,0.3088,0.1984,0.1464,0.3194,0.3275,0.3059,0.1225
1657094400.0,0.1618,0.1701,0.1893,0.1715,0.3183,0.3088,0.1985,0.1463,0.3194,0.3275,0.3059,0.1223
1657098000.0,0.1616,0.1698,0.1892,0.1713,0.3183,0.3088,0.1985,0.1460,0.3183,0.3263,0.3059,0.1220
1657101600.0,0.1614,0.1690,0.1888,0.1705,0.3183,0.3079,0.1984,0.1454,0.3183,0.3263,0.3059,0.1215
1657105200.0,0.1609,0.1678,0.1879,0.1694,0.3194,0.3118,0.1978,0.1444,0.3228,0.3251,0.3059,0.1209
1657108800.0,0.1601,0.1666,0.1870,0.1682,0.3217,0.3118,0.1972,0.1437,0.3228,0.3263,0.3059,0.1204
1657112400.0,0.1592,0.1655,0.1859,0.1671,0.3228,0.3118,0.1966,0.1428,0.3217,0.3275,0.3059,0.1201
1657116000.0,0.1586,0.1647,0.1849,0.1664,0.3240,0.3118,0.1963,0.1426,0.3206,0.3263,0.3059,0.1200
1657119600.0,0.1582,0.1642,0.1841,0.1661,0.3240,0.3118,0.1962,0.1427,0.3206,0.3275,0.3059,0.1201
1657123200.0,0.1579,0.1642,0.1835,0.1661,0.3240,0.3118,0.1961,0.1429,0.3194,0.3275,0.3059,0.1202
1657126800.0,0.1578,0.1642,0.1831,0.1663,0.3240,0.3118,0.1962,0.1431,0.3194,0.3287,0.3068,0.1204
1657130400.0,0.1578,0.1643,0.1828,0.1665,0.3228,0.3118,0.1963,0.1433,0.3194,0.3287,0.3068,0.1205
1657134000.0,0.1579,0.1645,0.1827,0.1668,0.3240,0.3129,0.1968,0.1436,0.3206,0.3287,0.3068,0.1207
1657137600.0,0.1580,0.1648,0.1827,0.1671,0.3240,0.3139,0.1973,0.1440,0.3206,0.3287,0.3079,0.1210
1657141200.0,0.1581,0.1652,0.1828,0.1677,0.3240,0.3139,0.1978,0.1444,0.3206,0.3299,0.3079,0.1212
1657144800.0,0.1583,0.1655,0.1831,0.1682,0.3240,0.3139,0.1984,0.1447,0.3206,0.3299,0.3079,0.1214
1657148400.0,0.1585,0.1659,0.1835,0.1687,0.3240,0.3139,0.1990,0.1451,0.3206,0.3299,0.3079,0.1216
1657152000.0,0.1587,0.1663,0.1837,0.1691,0.3240,0.3139,0.1996,0.1454,0.3206,0.3299,0.3079,0.1217
1657155600.0,0.1589,0.1667,0.1840,0.1697,0.3240,0.3139,0.2002,0.1458,0.3206,0.3299,0.3079,0.1218
1657159200.0,0.1591,0.1670,0.1844,0.1701,0.3240,0.3139,0.2007,0.1461,0.3206,0.3299,0.3079,0.1219
1657162800.0,0.1593,0.1675,0.1847,0.1706,0.3240,0.3108,0.2015,0.1463,0.3206,0.3299,0.3079,0.1219
1657166400.0,0.1594,0.1678,0.1850,0.1711,0.3240,0.3099,0.2020,0.1466,0.3206,0.3299,0.3088,0.1219
1657170000.0,0.1595,0.1681,0.1853,0.1713,0.3240,0.3088,0.2025,0.1468,0.3206,0.3299,0.3088,0.1218
1657173600.0,0.1596,0.1684,0.1857,0.1716,0.3228,0.3068,0.2030,0.1469,0.3206,0.3287,0.3088,0.1217
1657177200.0,0.1596,0.1686,0.1859,0.1717,0.3228,0.3068,0.2035,0.1469,0.3194,0.3287,0.3079,0.1215
1657180800.0,0.1595,0.1686,0.1861,0.1716,0.3228,0.3059,0.2036,0.1467,0.3194,0.3275,0.3079,0.1212
1657184400.0,0.1593,0.1682,0.1858,0.1711,0.3228,0.3059,0.2036,0.1463,0.3183,0.3275,0.3079,0.1208
1657188000.0,0.1589,0.1674,0.1852,0.1702,0.3217,0.3050,0.2035,0.1455,0.3183,0.3275,0.3079,0.1204
1657191600.0,0.1583,0.1660,0.1843,0.1690,0.3228,0.3079,0.2031,0.1445,0.3206,0.3275,0.3079,0.1199
1657195200.0,0.1574,0.1645,0.1833,0.1678,0.3240,0.3079,0.2025,0.1436,0.3206,0.3263,0.3068,0.1195
1657198800.0,0.1566,0.1634,0.1822,0.1666,0.3240,0.3079,0.2020,0.1429,0.3206,0.3263,0.3068,0.1193
1657202400.0,0.1560,0.1628,0.1812,0.1658,0.3228,0.3099,0.2016,0.1425,0.3194,0.3263,0.3079,0.1191
1657206000.0,0.1555,0.1628,0.1801,0.1651,0.3240,0.3099,0.2012,0.1423,0.3194,0.3263,0.3079,0.1190
1657209600.0,0.1552,0.1635,0.1791,0.1645,0.3240,0.3088,0.2010,0.1421,0.3194,0.3263,0.3079,0.1189
1657213200.0,0.1548,0.1644,0.1782,0.1642,0.3240,0.3079,0.2009,0.1421,0.3194,0.3263,0.3088,0.1189
1657216800.0,0.1545,0.1654,0.1774,0.1641,0.3240,0.3068,0.2009,0.1423,0.3194,0.3275,0.3088,0.1191
1657220400.0,0.1544,0.1666,0.1769,0.1642,0.3251,0.3068,0.2012,0.1425,0.3194,0.3275,0.3088,0.1193
1657224000.0,0.2664,0.1681,0.1768,0.2772,0.3251,0.3068,0.2870,0.2602,0.3217,0.3287,0.3099,0.1236
1657227600.0,0.3040,0.1694,0.1768,0.2753,0.3251,0.3079,0.2870,0.2541,0.3217,0.3287,0.3099,0.1353
1657231200.0,0.3032,0.1704,0.1769,0.2721,0.3251,0.3079,0.2878,0.2487,0.3217,0.3287,0.3099,0.1427
1657234800.0,0.3004,0.1716,0.1772,0.2692,0.3251,0.3079,0.2878,0.2423,0.3217,0.3287,0.3108,0.1470
1657238400.0,0.2978,0.1725,0.1774,0.2659,0.3251,0.3088,0.2878,0.2358,0.3217,0.3287,0.3108,0.1493
1657242000.0,0.2954,0.1734,0.1778,0.2627,0.3251,0.3079,0.2878,0.2292,0.3217,0.3287,0.3108,0.1505
1657245600.0,0.2922,0.1742,0.1780,0.2592,0.3251,0.3079,0.2878,0.2228,0.3217,0.3287,0.3108,0.1510
1657249200.0,0.2884,0.1751,0.1785,0.2554,0.3251,0.3079,0.2878,0.2168,0.3217,0.3287,0.3118,0.1509
1657252800.0,0.2840,0.1758,0.1788,0.2519,0.3251,0.3079,0.2878,0.2110,0.3206,0.3287,0.3108,0.1506
1657256400.0,0.2791,0.1766,0.1792,0.2482,0.3251,0.3079,0.2878,0.2057,0.3206,0.3287,0.3118,0.1503
1657260000.0,0.2747,0.1773,0.1795,0.2438,0.3251,0.3068,0.2878,0.2005,0.3206,0.3287,0.3118,0.1497
1657263600.0,0.2692,0.1779,0.1798,0.2393,0.3240,0.3068,0.2870,0.1955,0.3194,0.3275,0.3118,0.1492
1657267200.0,0.2637,0.1785,0.1801,0.2348,0.3240,0.3068,0.2870,0.1908,0.3194,0.3275,0.3108,0.1486
1657270800.0,0.2577,0.1789,0.1804,0.2301,0.3240,0.3068,0.2870,0.1862,0.3194,0.3275,0.3108,0.1477
1657274400.0,0.2519,0.1791,0.1805,0.2249,0.3228,0.3059,0.2870,0.1816,0.3194,0.3275,0.3108,0.1467
1657278000.0,0.2458,0.1788,0.1801,0.2194,0.3228,0.3059,0.2863,0.1766,0.3183,0.3263,0.3108,0.1452
1657281600.0,0.2386,0.1781,0.1796,0.2137,0.3228,0.3050,0.2863,0.1718,0.3183,0.3263,0.3108,0.1435
1657285200.0,0.2310,0.1769,0.1787,0.2079,0.3217,0.3050,0.2863,0.1665,0.3183,0.3263,0.3099,0.1421
1657288800.0,0.2228,0.1755,0.1778,0.2023,0.3217,0.3040,0.2855,0.1615,0.3183,0.3275,0.3108,0.1397
1657292400.0,0.2141,0.1741,0.1767,0.1966,0.3217,0.3040,0.2855,0.1572,0.3183,0.3275,0.3099,0.1379
